2,8,7.4,17.4
0,0,0,0
7,28,25.9,60.9
10,40,37,87
10,40,37,87
10,40,37,87
1,4,3.7,8.7
7,28,25.9,60.9
6,24,22.2,52.2
6,24,22.2,52.2
2,8,7.4,17.4
1,4,3.7,8.7
7,28,25.9,60.9
7,28,25.9,60.9
1,4,3.7,8.7
4,16,14.8,34.8
7,28,25.9,60.9
4,16,14.8,34.8
10,40,37,87
4,16,14.8,34.8
2,8,7.4,17.4
10,40,37,87
6,24,22.2,52.2
0,0,0,0
3,12,11.1,26.1
4,16,14.8,34.8
1,4,3.7,8.7
6,24,22.2,52.2
10,40,37,87
2,8,7.4,17.4
9,36,33.3,78.3
10,40,37,87
1,4,3.7,8.7
4,16,14.8,34.8
6,24,22.2,52.2
5,20,18.5,43.5
10,40,37,87
5,20,18.5,43.5
2,8,7.4,17.4
3,12,11.1,26.1
9,36,33.3,78.3
0,0,0,0
5,20,18.5,43.5
8,32,29.6,69.6
3,12,11.1,26.1
10,40,37,87
6,24,22.2,52.2
8,32,29.6,69.6
4,16,14.8,34.8
8,32,29.6,69.6
