3.5,44,-111.926234,33.575816,0,1,8,8,0,0,3,12,0,0,7,11,0,0,6,5,0,3,6,33,0,0,11,30,0,2,19,16,5,0,0,-1
4,9,-114.9110393,35.97207584,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,-1
3.5,3,-115.1902562,36.1225863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-1
4,30,-115.0462282,36.1580626,0,3,14,11,0,1,6,8,0,0,12,11,0,1,13,10,2,0,7,15,0,1,11,7,1,0,16,9,17,0,0,1
4,13,-111.541126,33.137695,0,0,2,3,0,1,1,1,1,2,2,1,0,2,3,3,1,0,3,4,1,2,3,6,0,0,10,2,2,0,0,-1
4,67,-115.1265829,36.100414,0,0,3,4,0,0,4,3,0,0,5,2,0,0,2,7,0,0,3,10,0,0,1,11,0,0,3,7,12,0,0,-1
3,6,-111.91547,33.548713,0,0,1,2,0,0,0,1,0,0,1,1,0,0,2,4,0,0,2,1,0,0,4,4,0,0,1,0,1,0,0,-1
3.5,4,-112.073895,33.486194,0,3,3,0,0,1,1,1,0,3,2,1,0,2,0,0,0,1,3,3,2,1,2,0,3,0,1,0,6,0,0,-1
2.5,72,-111.939582,33.423991,1,1,2,21,11,0,4,20,5,3,5,20,3,3,7,33,6,3,9,69,31,2,31,80,32,1,23,11,23,0,0,1
3,32,-115.1189623,36.0123098,0,2,11,2,0,2,6,4,0,1,3,1,0,2,5,5,0,3,3,1,1,1,8,3,0,1,9,5,15,0,0,1
4.5,1355,-115.1546953,36.1185522,28,8,101,213,16,6,140,210,21,10,147,190,16,6,146,248,26,9,198,335,40,18,188,406,43,7,163,304,474,10,11,-1
3.5,84,-115.1864851,36.1186984,2,0,2,20,0,0,1,12,0,2,0,16,0,1,3,13,0,0,0,15,1,0,2,30,2,0,2,10,6,0,0,-1
